"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
48,"EWCZ","European Wax Center Inc","Consumer Defensive","Household & Personal Products","USA",220.16,15.53,4.05,0.00%,114939
49,"HNST","Honest Company Inc","Consumer Defensive","Household & Personal Products","USA",302.95,44.21,2.71,-3.56%,1784018
50,"BRCC","BRC Inc","Consumer Defensive","Packaged Foods","USA",310.67,,1.25,-0.79%,365014
51,"GOTU","Gaotu Techedu Inc ADR","Consumer Defensive","Education & Training Services","China",320.69,,2.40,0.42%,261515
52,"AGCC","Agencia Comercial Spirits Ltd","Consumer Defensive","Beverages - Wineries & Distilleries","Taiwan",339.67,,9.88,11.26%,148935
53,"YSG","Yatsen Holding Ltd ADR","Consumer Defensive","Household & Personal Products","China",360.21,,5.63,-0.18%,417333
54,"BGS","B&G Foods, Inc","Consumer Defensive","Packaged Foods","USA",361.50,,4.52,-0.22%,881982
55,"USNA","Usana Health Sciences Inc","Consumer Defensive","Packaged Foods","USA",363.24,22.32,19.87,1.33%,105936
56,"CVGW","Calavo Growers, Inc","Consumer Defensive","Food Distribution","USA",369.03,23.58,20.67,-0.29%,223107
57,"VFF","Village Farms International Inc","Consumer Defensive","Farm Products","USA",386.98,18.28,3.35,-6.94%,2526863
58,"DDL","Dingdong (Cayman) Ltd ADR","Consumer Defensive","Grocery Stores","China",389.69,12.59,2.16,10.77%,3048519
59,"WEST","Westrock Coffee Company","Consumer Defensive","Packaged Foods","USA",390.20,,4.03,-2.66%,449223
60,"STKL","Sunopta, Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",435.93,,3.61,-4.75%,759065
61,"SNDL","SNDL Inc","Consumer Defensive","Beverages - Wineries & Distilleries","Canada",437.75,,1.70,-3.41%,1692603
62,"MAMA","Mama's Creations Inc","Consumer Defensive","Packaged Foods","USA",466.29,100.26,11.47,-1.80%,290447
63,"HELE","Helen of Troy Ltd","Consumer Defensive","Household & Personal Products","Bermuda",477.16,,20.72,-0.24%,497211
64,"NUS","Nu Skin Enterprises, Inc","Consumer Defensive","Household & Personal Products","USA",486.53,4.59,9.98,1.73%,385546
65,"KLC","KinderCare Learning Companies Inc","Consumer Defensive","Education & Training Services","USA",511.14,,4.32,-5.47%,985778
66,"MGPI","MGP Ingredients, Inc","Consumer Defensive","Beverages - Wineries & Distilleries","USA",546.84,,25.68,3.97%,545379
67,"BYND","Beyond Meat Inc","Consumer Defensive","Packaged Foods","USA",553.36,,1.22,-1.61%,101323705
68,"NGVC","Natural Grocers by Vitamin Cottage Inc","Consumer Defensive","Grocery Stores","USA",575.69,12.54,25.08,-5.00%,311588
69,"APEI","American Public Education Inc","Consumer Defensive","Education & Training Services","USA",624.11,26.34,34.51,-1.67%,181998
70,"LINC","Lincoln Educational Services Corp","Consumer Defensive","Education & Training Services","USA",704.58,49.18,22.28,-1.81%,186704
71,"DNUT","Krispy Kreme Inc","Consumer Defensive","Grocery Stores","USA",734.88,,4.29,1.66%,2717319
72,"UDMY","Udemy Inc","Consumer Defensive","Education & Training Services","USA",767.01,,5.24,0.00%,1452183
73,"EPC","Edgewell Personal Care Co","Consumer Defensive","Household & Personal Products","USA",777.35,32.20,16.73,-1.06%,586646
74,"AGRO","Adecoagro S.A","Consumer Defensive","Farm Products","Luxembourg",823.94,35.41,8.24,-2.25%,606613
75,"AVO","Mission Produce Inc","Consumer Defensive","Food Distribution","USA",853.08,22.02,12.08,0.42%,168909
76,"GO","Grocery Outlet Holding Corp","Consumer Defensive","Grocery Stores","USA",1112.88,,11.34,-0.35%,1587700
77,"THS","Treehouse Foods Inc","Consumer Defensive","Packaged Foods","USA",1191.80,,23.60,-0.55%,484302
78,"HLF","Herbalife Ltd","Consumer Defensive","Packaged Foods","USA",1260.39,3.90,12.20,0.99%,1185634
79,"UVV","Universal Corp","Consumer Defensive","Tobacco","USA",1302.13,11.77,52.25,0.00%,128306
80,"SPB","Spectrum Brands Holdings Inc","Consumer Defensive","Household & Personal Products","USA",1336.83,14.83,57.19,0.44%,230942
81,"UTZ","Utz Brands Inc","Consumer Defensive","Packaged Foods","USA",1368.59,151.82,9.58,0.42%,1399495
82,"UTI","Universal Technical Institute Inc","Consumer Defensive","Education & Training Services","USA",1387.96,22.48,25.50,-2.22%,1525838
83,"COUR","Coursera Inc","Consumer Defensive","Education & Training Services","USA",1404.42,,8.44,0.84%,1705070
84,"DOLE","Dole plc","Consumer Defensive","Farm Products","Ireland",1417.92,48.84,14.90,0.81%,785734
85,"VITL","Vital Farms Inc","Consumer Defensive","Farm Products","USA",1420.70,24.05,31.73,0.86%,5184586
86,"NWL","Newell Brands Inc","Consumer Defensive","Household & Personal Products","USA",1559.42,,3.72,0.81%,6827336
87,"ANDE","Andersons Inc","Consumer Defensive","Food Distribution","USA",1692.29,23.37,50.01,-1.34%,177771
88,"JJSF","J&J Snack Foods Corp","Consumer Defensive","Packaged Foods","USA",1759.65,27.10,90.97,-0.25%,204786
89,"FDP","Fresh Del Monte Produce Inc","Consumer Defensive","Farm Products","USA",1774.36,22.66,37.14,0.54%,195865
90,"PRDO","Perdoceo Education Corporation","Consumer Defensive","Education & Training Services","USA",1816.47,12.07,28.24,-0.98%,955824
91,"NOMD","Nomad Foods Limited","Consumer Defensive","Packaged Foods","United Kingdom",1845.44,8.32,12.03,-0.41%,1497923
