"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
117,"TXMD","TherapeuticsMD Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",20.14,66.67,1.74,8.07%,146533
118,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",21.80,,1.18,-5.60%,262935
119,"MRKR","Marker Therapeutics Inc","Healthcare","Biotechnology","USA",22.01,,1.32,-7.04%,353650
120,"NNVC","NanoViricides Inc","Healthcare","Biotechnology","USA",22.14,,1.23,0.82%,337431
121,"LIMN","Liminatus Pharma Inc","Healthcare","Biotechnology","USA",22.71,,0.84,-11.96%,408674
122,"APVO","Aptevo Therapeutics Inc","Healthcare","Biotechnology","USA",22.75,,1.35,-2.88%,490998
123,"CODX","Co-Diagnostics Inc","Healthcare","Medical Devices","USA",22.80,,0.37,-3.10%,841275
124,"LEXX","Lexaria Bioscience Corp","Healthcare","Biotechnology","Canada",23.56,,1.06,-5.36%,190466
125,"COCH","Envoy Medical Inc","Healthcare","Medical Devices","USA",24.24,,0.84,-0.45%,58771
126,"KZIA","Kazia Therapeutics Limited ADR","Healthcare","Biotechnology","Australia",24.38,,15.05,12.48%,224696
127,"SCNX","Scienture Holdings Inc","Healthcare","Pharmaceutical Retailers","USA",24.78,,0.61,0.64%,966705
128,"ITRM","Iterum Therapeutics Plc","Healthcare","Biotechnology","Ireland",24.92,,0.47,7.27%,2256029
129,"BEAT","HeartBeam Inc","Healthcare","Health Information Services","USA",25.14,,0.73,1.39%,1378109
130,"KTTA","Pasithea Therapeutics Corp","Healthcare","Biotechnology","USA",25.31,,1.13,-2.59%,1286545
131,"NERV","Minerva Neurosciences Inc","Healthcare","Biotechnology","USA",26.85,,3.84,2.67%,24227
132,"IBIO","iBio Inc","Healthcare","Biotechnology","USA",26.98,,1.20,-6.25%,628534
133,"ZYXI","Zynex Inc","Healthcare","Medical Distribution","USA",27.05,,0.89,-13.59%,814010
134,"SCYX","Scynexis Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",27.51,,0.66,-2.00%,137441
135,"IGC","IGC Pharma Inc","Healthcare","Biotechnology","USA",27.67,,0.30,-2.68%,397005
136,"NOTV","Inotiv Inc","Healthcare","Diagnostics & Research","USA",27.75,,0.81,-8.10%,397149
137,"MLSS","Milestone Scientific Inc","Healthcare","Medical Instruments & Supplies","USA",27.83,,0.35,1.43%,399182
138,"RLYB","Rallybio Corp","Healthcare","Biotechnology","USA",27.96,,0.66,-0.72%,59100
139,"HIND","Vyome Holdings Inc","Healthcare","Biotechnology","USA",28.28,,5.01,-1.57%,24833
140,"NRXS","Neuraxis Inc","Healthcare","Biotechnology","USA",28.44,,2.67,-1.48%,22961
141,"MODD","Modular Medical Inc","Healthcare","Medical Devices","USA",29.03,,0.46,1.20%,89427
142,"LNAI","Lunai Bioworks Inc","Healthcare","Biotechnology","USA",29.29,,1.25,-3.85%,212308
143,"ENLV","Enlivex Therapeutics Ltd","Healthcare","Biotechnology","Israel",29.39,,1.21,4.31%,1053041
144,"ELUT","Elutia Inc","Healthcare","Medical Devices","USA",29.63,,0.69,0.20%,266650
145,"INTS","Intensity Therapeutics Inc","Healthcare","Biotechnology","USA",30.63,,0.51,10.80%,8401159
146,"APLT","Applied Therapeutics Inc","Healthcare","Biotechnology","USA",31.26,,0.22,-5.79%,5853721
147,"HYPD","Hyperion DeFi Inc","Healthcare","Biotechnology","USA",31.50,,3.89,-2.02%,107267
148,"IINN","Inspira Technologies Oxy B.H.N. Ltd","Healthcare","Medical Devices","Israel",31.80,,1.11,0.00%,64076
149,"EVAX","Evaxion A/S ADR","Healthcare","Biotechnology","Denmark",33.18,,5.25,-0.76%,46228
150,"HBIO","Harvard Bioscience Inc","Healthcare","Medical Instruments & Supplies","USA",33.78,,0.76,4.81%,481121
151,"DYAI","Dyadic International Inc., DE","Healthcare","Biotechnology","USA",34.38,,0.95,-4.99%,87642
152,"RNXT","RenovoRx Inc","Healthcare","Biotechnology","USA",34.50,,0.94,-0.92%,116086
153,"NRSN","NeuroSense Therapeutics Ltd","Healthcare","Biotechnology","Israel",34.57,,1.17,-2.50%,282852
154,"NMTC","NeuroOne Medical Technologies Corp","Healthcare","Medical Devices","USA",35.60,,0.71,6.11%,211477
155,"RNTX","Rein Therapeutics Inc","Healthcare","Biotechnology","USA",35.75,,1.36,-2.16%,163231
156,"GNTA","Genenta Science SpA ADR","Healthcare","Biotechnology","Italy",35.81,,1.87,0.54%,30231
157,"KLTO","Klotho Neurosciences Inc","Healthcare","Biotechnology","USA",36.34,,0.50,2.24%,766638
158,"GLTO","Galecto Inc","Healthcare","Biotechnology","USA",36.45,,27.46,19.97%,132612
159,"VNRX","VolitionRX Ltd","Healthcare","Medical Devices","USA",36.80,,0.30,-3.76%,1819629
160,"RGNT","Regentis Biomaterials Ltd","Healthcare","Medical Instruments & Supplies","Israel",36.93,,7.49,-0.13%,74243
161,"ZJYL","Jin Medical International Ltd","Healthcare","Medical Instruments & Supplies","China",37.21,20.85,0.24,1.97%,84412
162,"XLO","Xilio Therapeutics Inc","Healthcare","Biotechnology","USA",38.34,,0.73,-1.46%,1190466
163,"SKYE","Skye Bioscience Inc","Healthcare","Biotechnology","USA",38.47,,1.20,-0.83%,200934
164,"RMTI","Rockwell Medical Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",38.89,,0.99,-3.25%,108548
165,"TVRD","Tvardi Therapeutics Inc","Healthcare","Biotechnology","USA",39.21,,4.18,0.00%,85739
166,"MYO","Myomo Inc","Healthcare","Medical Devices","USA",39.97,,1.04,1.96%,883482
167,"QTTB","Q32 Bio Inc","Healthcare","Biotechnology","USA",40.85,,3.32,-8.29%,580915
168,"CUE","Cue Biopharma Inc","Healthcare","Biotechnology","USA",43.21,,0.55,-0.76%,266215
169,"MAIA","MAIA Biotechnology Inc","Healthcare","Biotechnology","USA",44.44,,1.20,0.00%,241776
170,"ATNM","Actinium Pharmaceuticals Inc","Healthcare","Biotechnology","USA",44.61,,1.43,-1.38%,86058
171,"MDCX","Medicus Pharma Ltd","Healthcare","Drug Manufacturers - General","Canada",45.16,,2.05,6.77%,370909
172,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",45.27,,2.07,-0.96%,267746
173,"IPSC","Century Therapeutics Inc","Healthcare","Biotechnology","USA",45.89,,0.53,-0.04%,463218
174,"HOWL","Werewolf Therapeutics Inc","Healthcare","Biotechnology","USA",46.20,,0.95,-4.48%,305632
175,"TELO","Telomir Pharmaceuticals Inc","Healthcare","Biotechnology","USA",47.10,,1.37,0.74%,141918
176,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",47.15,,0.69,1.10%,954550
177,"PDSB","PDS Biotechnology Corporation","Healthcare","Biotechnology","USA",47.61,,0.87,-2.70%,379651
178,"JSPR","Jasper Therapeutics Inc","Healthcare","Biotechnology","USA",47.85,,1.71,-8.06%,1132581
179,"BCAB","BioAtla Inc","Healthcare","Biotechnology","USA",48.43,,0.82,-2.85%,588376
180,"IOBT","IO Biotech Inc","Healthcare","Biotechnology","Denmark",50.13,,0.70,2.74%,1037215
181,"MDAI","Spectral AI Inc","Healthcare","Medical Devices","USA",50.64,,1.65,-2.37%,412050
182,"INMB","INmune Bio Inc","Healthcare","Biotechnology","USA",50.78,,1.91,1.60%,446415
183,"WGRX","Wellgistics Health Inc","Healthcare","Pharmaceutical Retailers","USA",50.87,,0.57,-7.02%,730116
184,"FEMY","Femasys Inc","Healthcare","Medical Instruments & Supplies","USA",51.46,,0.88,-2.24%,1184385
185,"EQ","Equillium Inc","Healthcare","Biotechnology","USA",51.91,,0.85,-2.30%,154360
186,"PARK","Park Dental Partners Inc","Healthcare","Medical Care Facilities","USA",54.40,,13.30,15.25%,82024
187,"TLPH","Talphera Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",57.33,,1.23,-2.38%,264251
188,"BDMD","Baird Medical Investment Holdings Limited","Healthcare","Medical Devices","China",58.24,,1.63,0.00%,336365
189,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",61.14,,1.46,-1.35%,160142
190,"TCRX","Tscan Therapeutics Inc","Healthcare","Biotechnology","USA",61.29,,1.08,-0.92%,978304
191,"LITS","Lite Strategy Inc","Healthcare","Biotechnology","USA",61.43,,1.67,-4.57%,462469
192,"CYPH","Cypherpunk Technologies Inc","Healthcare","Biotechnology","USA",62.88,,1.11,-12.60%,4627313
193,"PMVP","PMV Pharmaceuticals Inc","Healthcare","Biotechnology","USA",63.32,,1.19,-7.03%,486938
194,"KRRO","Korro Bio Inc","Healthcare","Biotechnology","USA",66.11,,7.02,3.08%,602083
195,"NRXP","NRX Pharmaceuticals Inc","Healthcare","Biotechnology","USA",66.31,,2.36,-3.28%,205420
196,"MGX","Metagenomi Inc","Healthcare","Biotechnology","USA",66.83,,1.78,-0.56%,406903
197,"OSTX","OS Therapies Inc","Healthcare","Biotechnology","USA",67.61,,1.92,5.49%,530414
198,"STSS","Sharps Technology Inc","Healthcare","Medical Instruments & Supplies","USA",69.44,,2.46,-7.52%,368290
199,"RVPH","Reviva Pharmaceuticals Holdings Inc","Healthcare","Biotechnology","USA",70.89,,0.62,4.21%,4423706
200,"IFRX","InflaRx N.V","Healthcare","Biotechnology","Germany",71.16,,1.06,-3.64%,483865
201,"ASRT","Assertio Holdings Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",73.87,,0.77,-2.12%,272035
202,"PLRX","Pliant Therapeutics Inc","Healthcare","Biotechnology","USA",74.35,,1.21,-7.63%,4098556
203,"ACRV","Acrivon Therapeutics Inc","Healthcare","Biotechnology","USA",74.79,,2.37,-1.66%,339048
204,"ESLA","Estrella Immunopharma Inc","Healthcare","Biotechnology","USA",75.15,,1.99,3.11%,80946
205,"MNOV","Medicinova Inc","Healthcare","Biotechnology","USA",76.51,,1.56,0.65%,99681
206,"ALXO","Alx Oncology Holdings Inc","Healthcare","Biotechnology","USA",76.99,,1.42,3.65%,266319
207,"TVGN","Tevogen Bio Holdings Inc","Healthcare","Biotechnology","USA",79.60,,0.40,-5.00%,328068
208,"OM","Outset Medical Inc","Healthcare","Medical Devices","USA",79.60,,4.39,-6.99%,1597843
209,"IMUX","Immunic Inc","Healthcare","Biotechnology","USA",79.94,,0.66,-3.44%,995133
210,"ATYR","Atyr Pharma Inc","Healthcare","Biotechnology","USA",80.73,,0.82,-0.47%,1484078
211,"ACET","Adicet Bio Inc","Healthcare","Biotechnology","USA",81.87,,0.53,-3.75%,2148366
212,"ARTV","Artiva Biotherapeutics Inc","Healthcare","Biotechnology","USA",82.47,,3.36,-10.99%,142863
213,"LUNG","Pulmonx Corp","Healthcare","Medical Devices","USA",82.91,,2.01,-6.07%,876195
214,"VRCA","Verrica Pharmaceuticals Inc","Healthcare","Biotechnology","USA",83.61,,8.81,4.63%,318024
215,"THAR","Tharimmune Inc","Healthcare","Biotechnology","USA",83.76,,2.39,-3.24%,167479
216,"SPRB","Spruce Biosciences Inc","Healthcare","Biotechnology","USA",85.62,,79.99,-11.55%,154318
217,"XTNT","Xtant Medical Holdings Inc","Healthcare","Medical Devices","USA",86.24,60.39,0.62,0.93%,115112
218,"BMEA","Biomea Fusion Inc","Healthcare","Biotechnology","USA",86.26,,1.22,2.52%,4952191
219,"MGNX","Macrogenics Inc","Healthcare","Biotechnology","USA",86.66,,1.37,-0.72%,5122986
220,"RCEL","AVITA Medical Inc","Healthcare","Medical Devices","USA",86.94,,3.50,-1.41%,180481
221,"FBIO","Fortress Biotech Inc","Healthcare","Biotechnology","USA",87.84,,2.83,2.91%,286258
222,"CBUS","Cibus Inc","Healthcare","Biotechnology","USA",89.02,,1.64,1.86%,226255
223,"PSTV","Plus Therapeutics Inc","Healthcare","Biotechnology","USA",89.33,,0.65,-0.76%,8644851
224,"ONMD","OneMedNet Corp","Healthcare","Health Information Services","USA",90.28,,1.77,-3.80%,396035
225,"OTLK","Outlook Therapeutics Inc","Healthcare","Biotechnology","USA",91.06,,2.05,-0.49%,2049722
226,"HYFT","MindWalk Holdings Corp","Healthcare","Biotechnology","USA",92.31,,2.00,-3.38%,284490
227,"STIM","Neuronetics Inc","Healthcare","Medical Devices","USA",92.46,,1.35,-6.90%,668249
228,"CTOR","Citius Oncology Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",93.53,,1.12,0.89%,279846
229,"ADVM","Adverum Biotechnologies Inc","Healthcare","Biotechnology","USA",94.05,,4.26,2.16%,671767
230,"RPTX","Repare Therapeutics Inc","Healthcare","Biotechnology","Canada",95.21,,2.21,-0.67%,134937
231,"CNTX","Context Therapeutics Inc","Healthcare","Biotechnology","USA",96.47,,1.05,1.94%,163072
232,"ZNTL","Zentalis Pharmaceuticals Inc","Healthcare","Biotechnology","USA",100.43,,1.39,-0.71%,393493
233,"ZYBT","Zhengye Biotechnology Holding Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","China",101.65,64.41,2.14,-2.50%,28633
234,"VANI","Vivani Medical Inc","Healthcare","Biotechnology","USA",102.13,,1.40,-0.71%,93517
235,"DCGO","DocGo Inc","Healthcare","Medical Care Facilities","USA",102.70,,1.05,0.00%,411135
236,"ATOS","Atossa Therapeutics Inc","Healthcare","Biotechnology","USA",103.25,,0.80,5.24%,844277
237,"HYPR","Hyperfine Inc","Healthcare","Medical Devices","USA",104.94,,1.08,8.98%,1146513
238,"CRDL","Cardiol Therapeutics Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",105.00,,1.05,9.22%,779235
239,"ONCY","Oncolytics Biotech, Inc","Healthcare","Biotechnology","Canada",105.31,,0.99,1.16%,562123
240,"QIPT","Quipt Home Medical Corp","Healthcare","Medical Distribution","USA",105.56,,2.43,-1.62%,109095
241,"PRLD","Prelude Therapeutics Inc","Healthcare","Biotechnology","USA",110.54,,1.46,-5.19%,292779
242,"ARAY","Accuray Inc","Healthcare","Medical Devices","USA",111.70,,0.99,-3.38%,2134453
243,"ABOS","Acumen Pharmaceuticals Inc","Healthcare","Biotechnology","USA",112.67,,1.86,-6.06%,166993
244,"CLYM","Climb Bio Inc","Healthcare","Biotechnology","USA",117.28,,1.72,-0.58%,190174
245,"WHWK","Whitehawk Therapeutics Inc","Healthcare","Biotechnology","USA",117.35,18.34,2.49,-2.73%,92737
246,"ELDN","Eledon Pharmaceuticals Inc","Healthcare","Biotechnology","USA",118.63,,1.58,-0.63%,772392
247,"OVID","Ovid Therapeutics Inc","Healthcare","Biotechnology","USA",118.92,,1.67,3.09%,1408277
